Employee ID,KNIME,R,Python,SAS,Tableau,PowerBI,Java,Ruby,Go,C++,HTML,JavaScript,PHP,Spark,AWS,Azure,GCP,Machine Learning,Deep Learning,Image Processing,Email writing,Spanish,German,French,English,Hindi,Arabic,Qlik,MSTR,ETL,Snowflakes,JIRA,Git,Confluence,Android Studio,Angular
AB16798,4,4,2,1,5,4,3,4,2,2,2,4,1,3,1,5,3,3,3,1,5,4,2,3,5,2,2,3,5,2,1,1,2,1,2,2
AB3050,5,5,5,3,5,1,5,3,4,5,3,4,1,5,5,4,1,2,2,3,5,1,4,5,3,4,5,4,5,3,5,3,1,3,5,3
AB14100,5,4,4,3,3,5,1,1,3,5,4,2,3,3,4,3,3,4,4,1,1,1,1,2,5,2,1,2,1,3,1,2,4,3,2,3
AB3808,4,2,3,2,2,3,1,1,5,3,5,5,1,4,2,5,5,3,5,2,4,2,2,2,3,4,3,4,4,5,1,3,5,2,5,4
AB1952,4,2,1,4,1,3,1,1,1,2,5,4,3,1,3,4,4,1,4,3,1,3,5,2,3,3,5,3,2,5,4,3,5,4,4,3
AB1526,1,2,3,4,1,5,5,3,5,1,2,2,2,2,3,4,3,4,5,4,5,4,2,4,1,1,3,2,3,4,2,4,5,5,5,2
AB2610,1,5,4,5,2,2,3,5,2,3,4,2,2,5,1,5,4,2,4,3,4,1,4,1,5,4,1,3,4,1,4,3,5,4,5,2
AB20379,1,4,3,2,1,5,5,4,2,5,4,5,1,4,4,3,2,4,1,2,5,5,4,4,3,4,5,4,3,4,5,5,3,3,2,4
AB9284,4,1,3,5,1,2,1,4,4,5,5,1,1,4,4,4,5,2,3,2,2,1,5,2,1,4,5,1,3,4,4,1,3,3,3,1
AB16942,2,2,1,4,3,3,5,3,1,3,2,4,3,3,1,2,1,1,3,4,2,3,3,1,3,1,5,5,3,3,1,4,2,2,1,1
AB22521,4,3,2,2,3,5,2,2,4,5,2,2,5,1,3,3,3,2,3,1,4,5,3,4,3,1,1,1,2,3,2,3,2,4,5,1
AB4502,2,3,3,4,2,1,2,3,3,1,2,1,5,3,4,4,2,3,3,2,2,5,3,1,5,2,2,4,5,4,2,3,4,2,4,5
AB13540,5,4,3,2,5,2,5,2,3,2,2,1,2,2,3,1,5,5,1,2,4,1,4,5,2,1,5,3,2,5,1,3,2,4,5,2
AB2854,1,4,1,5,1,2,4,2,1,1,4,5,5,2,3,4,5,2,4,5,2,1,3,1,5,1,5,1,5,3,5,3,4,2,1,1
AB1980,5,4,3,5,4,5,2,1,2,5,5,4,5,4,2,4,4,2,3,5,2,3,5,2,4,5,4,3,3,3,4,3,1,3,4,2
AB8838,2,3,4,5,4,1,5,3,2,3,3,2,2,2,4,2,4,5,2,4,3,1,4,1,5,4,5,1,4,1,5,2,3,3,4,4
AB11956,2,5,3,5,5,3,4,3,1,3,4,2,2,5,1,1,4,3,4,3,2,2,3,4,2,3,5,2,5,2,1,2,3,4,5,3
AB17215,1,4,3,1,5,2,2,2,4,1,5,3,3,1,4,4,5,3,1,5,5,1,1,5,2,4,4,5,4,3,5,2,2,2,1,5
AB19425,1,5,5,3,1,5,1,3,2,1,1,2,2,4,5,3,2,3,1,3,5,1,2,1,5,1,5,1,5,3,2,2,1,1,2,4
AB17615,3,2,3,5,4,2,2,1,1,1,1,3,1,1,1,4,5,4,5,5,4,3,1,1,2,2,3,3,4,5,1,3,2,2,3,4
AB27959,2,4,2,4,2,2,3,2,2,5,1,2,4,2,2,2,2,3,3,5,5,3,1,4,4,4,5,3,2,5,3,5,1,1,3,5
AB25766,1,3,3,3,4,4,2,2,4,5,2,2,3,3,2,4,3,3,3,4,5,4,5,5,4,5,3,5,4,4,1,1,5,2,4,5
AB11209,1,5,4,2,2,5,5,4,1,4,2,2,4,4,5,4,1,3,3,1,1,5,4,5,4,3,5,3,4,3,5,5,4,2,3,1
AB8410,3,3,2,3,3,5,4,2,1,4,3,3,4,3,3,3,4,1,2,5,4,4,3,2,1,5,4,5,2,5,4,1,5,1,5,5
AB1045,5,2,4,4,2,5,5,2,4,1,3,2,5,3,5,4,2,2,5,1,3,3,5,4,3,2,2,5,5,4,1,5,1,2,2,1
AB10626,3,1,4,2,2,4,1,1,2,4,1,3,3,4,1,4,3,1,2,4,3,2,2,3,1,3,4,2,5,4,1,2,1,1,3,5
AB7350,2,1,2,2,2,1,3,3,2,1,1,3,5,1,4,3,5,5,5,3,1,1,2,4,5,3,3,1,1,1,1,2,3,3,3,1
AB27536,3,1,1,4,1,3,2,5,2,2,1,2,2,1,4,3,1,5,4,1,1,1,4,4,1,1,2,3,1,5,3,4,1,5,4,1
AB11544,5,3,3,1,2,5,3,2,3,5,4,1,4,4,1,2,2,1,1,2,5,2,4,5,3,1,5,4,3,4,1,2,5,1,3,1
AB23224,1,2,3,1,3,2,4,2,1,4,2,5,1,1,5,2,3,1,2,1,3,4,1,1,1,2,2,4,3,5,5,2,4,4,4,5
AB12333,2,4,3,2,4,4,3,3,2,1,2,3,1,5,2,1,1,5,1,2,3,4,5,2,4,2,5,2,4,5,1,4,1,1,3,5
AB6134,2,5,4,5,4,1,4,3,4,3,5,1,3,1,3,3,1,1,5,1,5,3,3,1,5,5,3,4,3,3,1,2,5,1,2,2
AB15036,2,3,4,4,5,1,3,1,3,4,2,2,5,2,2,4,5,5,4,1,3,4,4,2,3,4,3,5,2,5,3,2,2,3,3,1
AB27574,5,1,1,3,2,3,2,1,5,1,3,3,4,4,3,4,4,3,4,4,3,3,5,3,1,5,5,4,2,5,2,1,3,1,2,5
AB16443,5,2,3,3,5,3,1,3,1,4,2,2,4,2,1,5,1,4,2,3,3,5,5,5,2,5,2,3,4,3,3,1,3,5,4,2
AB16638,2,3,1,3,5,5,1,3,4,1,5,4,3,4,3,1,3,4,3,5,3,3,1,2,4,1,1,4,1,4,1,3,2,4,2,4
